passSourceTemplateID,primaryOfferLabel,offerSublabel,expirationDate,disclaimers

3742,$10 Off,Oil & Filter Change,1/1/25,"This is not a check. Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. Includes up to 5 quarts of non- synthetic. Not valid with any other offer. One coupon per visit."

3742,$10 Off,Oil & Filter Change,1/1/25,"This is not a check. Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. Includes up to 5 quarts of non- synthetic. Not valid with any other offer. One coupon per visit."

3742,$10 Off,Oil & Filter Change,1/1/25,"This is not a check. Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. Includes up to 5 quarts of non- synthetic. Not valid with any other offer. One coupon per visit."

3742,$10 Off,Oil & Filter Change,1/1/25,"This is not a check. Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. Includes up to 5 quarts of non- synthetic. Not valid with any other offer. One coupon per visit."

3742,$50.00 Off  ,Any Parts or Service,1/1/25,"Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. One coupon per visit. Not valid with any other offer. Not to exceed 20% of total parts & service invoice. Cannot be applied to a deductible. Excludes tires & batteries. Based on retail prices."

3742,$75.00 OFF  ,Any Parts or Service,1/1/25,"Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. One coupon per visit. Not valid with any other offer. Not to exceed 20% of total parts & service invoice. Cannot be applied to a deductible. Excludes tires. Based on retail prices."

3742,$100.00 OFF  ,Any Parts or Service,1/1/25,"Must be presented at time of write-up. Tax, misc., environmental & hazardous waste disposal fees are extra. One coupon per visit. Not valid with any other offer. Not to exceed 20% of total parts & service invoice. Cannot be applied to a deductible. Excludes tires. Based on retail prices."

3742,50% Off,Standard 4- Wheel Alignment,1/1/25,"This is not a check. Not redeemable for cash. One time use. Must be presented at time of write-up. Tax, Misc. & Disposal fees are extra. One coupon per visit. Not valid with any other offer. Shims additional when required. Based on retail prices."

3742,FREE,1 Day Car Rental w/repairs over $199,1/1/25,"Plus tax. Must be presented at time of write-up. With paid retail repair invoice of at least $299. Must be at least 25 years of age and possess a valid drivers license, credit card & insurance. One coupon per visit. Not valid with any other offer."

3742,15% Off,Off Parts & Service,1/1/25,This is not a check. No cash value. Must be presented at time of write-up. One coupon per vist. Not valid with any other offer. Excludes tires. Based on retail prices. Not to exceed $125

3742,10% Off,Any Fluid Service,1/1/25,"This is not a check. Must be presented at time of write-up. Tax, misc., & disposal fees are extra. One coupon per visit. Not valid with any other offer. Based on retail prices."

3742,$19.95 ,Tire Rotation,1/1/25,"This is not a check. Must be presented at time of write-up. Not valid with any other offer. One coupon per visit. Based on retail prices. Excludes tires. Tax, misc. & disposal fees are extra"